"last_name, first_name","player_id","year","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Chirinos, Yonny","630023","2024",65.5,15,27.1,35.3,64.7,48.7,66.7,8.7,"515",85,51.3,46.4,20.7,46.8
"Finnegan, Kyle","640448","2024",72.4,18.2,27.2,40.3,58.1,42.7,87.1,8,"1067",81.1,57.3,43.8,23.1,53.2
"Harvey, Hunter","640451","2024",68.9,22.8,31.2,37.9,62.1,46.7,76.8,9.1,"906",77.2,53.3,43.8,27.1,51.3
"Manaea, Sean","640455","2024",68.6,19,28.6,43.9,55.6,48.9,81.9,8.1,"2996",80.4,51.1,44.4,26.1,49
"Puk, A.J.","640462","2024",64.2,24.1,32.1,49.7,50.3,46.5,70.2,8,"1173",75.2,53.5,44.3,31.8,49.3
"Alzolay, Adbert","640470","2024",67.3,14.9,29.1,38.5,55.8,54.4,85,6.1,"329",84.2,45.6,46.2,22.9,46.5
"López, Pablo","641154","2024",70.7,19.2,33,43.7,55.1,50,77.3,7.5,"2986",80.7,50,43.3,27,51.8
"Alexander, Tyler","641302","2024",67,16.7,30.8,28.5,70.2,47.1,72.1,7.3,"1668",82.6,52.9,45.1,20.1,50
"Anderson, Shaun","641312","2024",69.3,7.5,20.9,47.4,52.6,37.3,90,12.3,"244",92.5,62.7,40.6,13.6,51.2
"Baker, Bryan","641329","2024",70.5,19.9,24.9,36.4,61.4,47.8,84.8,8.9,"370",76.5,52.2,42.4,23.9,48.6
"Cortes Jr., Nestor","641482","2024",72.9,20.1,27.4,35.5,64.2,49.4,84.4,7,"2849",79.4,50.6,44.3,24.2,50.4
"Dunning, Dane","641540","2024",66,17.1,25,41.2,58.3,50,80.9,6.5,"1689",82.9,50,43.4,23.7,45.5
"France, J.P.","641585","2024",66.3,22.1,23,33.3,66.7,56,76.7,6.4,"466",77.9,44,45.3,25.5,42.1
"Hamilton, Ian","641656","2024",66.4,22.7,35.4,60.5,39.5,51.9,68.6,5.6,"619",77.3,48.1,43.2,36.5,50.4
"Honeywell Jr., Brent","641703","2024",67.7,10.8,22.3,30.2,68.3,47.4,70.8,8.1,"595",89.2,52.6,42.7,15.3,46.2
"Hudson, Dakota","641712","2024",63.9,11.7,21.2,38.4,61.6,51.1,74.5,6.8,"1512",87.7,48.9,42.3,18.6,42.1
"Jiménez, Joe","641729","2024",68.7,20.3,32.6,61.8,38.2,47.8,74.4,7.2,"1089",79.5,52.2,43.8,32.9,51.4
"Keller, Brad","641745","2024",67,13.6,27,37.7,62.3,52.7,78,6.7,"743",86,47.3,43.7,21.1,46
"Kinley, Tyler","641755","2024",71.2,20.8,31.3,57.6,41.4,53.3,81.1,7.6,"1185",77.9,46.7,41.2,33.1,50
"Kuhl, Chad","641771","2024",67.6,18.7,21.4,48.7,50.4,54.9,82.1,5.7,"980",80.6,45.1,40.3,27.1,42.2
"Littell, Zack","641793","2024",70.6,14.5,31.1,44.7,55,47.4,82.7,7.9,"2486",84.8,52.6,43.5,23.1,51.9
"Mayza, Tim","641835","2024",65.1,10.5,23.6,37.2,62.8,49.8,68.6,7,"731",88.7,50.2,41,17.5,44.5
"Ober, Bailey","641927","2024",71.5,22.9,33.5,41.7,58.3,50.2,77,7.1,"2696",76.9,49.8,44.4,29,52.4
"Pagán, Emilio","641941","2024",72.6,26.4,31.6,37.9,60.9,46.4,83.3,8.1,"593",73.6,53.6,44.5,29.6,53.6
"Saucedo, Tayler","642048","2024",60.4,19,34.5,40.8,59.2,55.6,64.1,6.2,"626",79.8,44.4,41.4,28.1,46
"Speier, Gabe","642100","2024",67,22.1,27.9,50.8,47.5,51.9,76.3,9,"422",77.9,48.1,39.1,31,46.7
"Williams, Devin","642207","2024",69.9,31.4,29.4,56.3,43.8,55.8,66.7,4.6,"391",68.6,44.2,46,40,47.3
"Yarbrough, Ryan","642232","2024",66.4,18.2,27.3,28.4,71.1,48.7,71.7,7.9,"1514",80.8,51.3,42.9,21.1,47.4
"Soto, Gregory","642397","2024",64.9,17.8,30.2,57.7,41.6,51.4,74.4,8.1,"960",81.5,48.6,38.8,31,47.1
"Garabito, Gerson","642520","2024",63.4,12.1,28,38.9,61.1,52.2,81.3,6.5,"492",87.2,47.8,42.7,20.8,44.9
"Hernández, Jonathan","642546","2024",69,18.6,30.8,48.5,51.5,58.1,72.7,5.8,"762",81.4,41.9,39.2,30.1,46.7
"Peralta, Freddy","642547","2024",70.4,22.7,28,47.9,51.3,55.4,76,6.3,"3066",77.1,44.6,42,31.1,46.9
"Ramirez, Emmanuel","642629","2024",66.7,20.2,29,43.1,56.9,53.9,84.6,7,"371",79.8,46.1,36.9,27.9,46.4
"Santana, Dennis","642701","2024",66,17.7,35.2,47.9,52.1,49.8,73.1,8.4,"1106",82,50.2,42,28.2,50.7
"Cimber, Adam","643256","2024",65.2,11.5,21.9,29.8,70.2,51.7,65.6,7.7,"416",88.5,48.3,37.3,16.3,42.8
"Green, Chad","643338","2024",74.3,18.5,30.8,34.9,64.3,49.9,83.6,7.3,"840",81.2,50.1,43,23.3,52.6
"Jax, Griffin","643377","2024",65.8,24.4,38.3,60.8,39.2,49.9,70.9,7.4,"1068",75.6,50.1,41.3,37.8,52.1
"Leiter Jr., Mark","643410","2024",63.6,23.2,34.6,58.6,40.9,57.8,75,5.5,"1015",75.7,42.2,41.8,38.3,46.8
"Rogers, Tyler","643511","2024",70.1,16,27.8,28.3,71.7,40.5,82.7,11,"1002",83,59.5,42.7,18.6,53
"Pop, Zach","647315","2024",71.1,14.6,31.4,35.9,64.1,54.8,70.2,7.7,"744",84.9,45.2,42.1,22.1,49.3
"Soroka, Michael","647336","2024",63.6,15.6,24.9,46,53.4,52.6,76.5,8,"1442",84.4,47.4,41.5,24.8,43.3
"Abreu, Bryan","650556","2024",64.4,21.4,27.7,63.3,36.7,49.9,75.5,7.8,"1300",78.3,50.1,42.8,34,46.2
"King, Michael","650633","2024",60.8,20.9,30.5,45.6,53.8,51,69.8,7,"2895",79.1,49,43.8,29.3,45.4
"Civale, Aaron","650644","2024",64.4,13.3,27.6,40.1,59.4,52.2,76.8,6.2,"2699",86.1,47.8,43.8,21.9,45.2
"Quijada, José","650671","2024",76.4,24.6,24.3,55.8,42.3,56.5,73.9,6.1,"379",73.8,43.5,41.7,33.7,47
"Cabrera, Génesis","650893","2024",71.7,19.1,27.9,42.4,57.6,52.6,87.3,6.9,"1030",80.3,47.4,39.6,26.1,48.6
"Sánchez, Cristopher","650911","2024",66.9,17.1,36.4,37.4,62.4,50.3,77.7,7,"2797",82.2,49.7,43.7,24.3,51.6
"Rodríguez, Manuel","655889","2024",68.2,15.4,28.3,54.1,45.9,49.6,69.7,5.5,"605",84.1,50.4,41.3,26.6,48.4
"Beeks, Jalen","656222","2024",73.5,14.6,24,46.4,53.6,53,85.1,6.2,"1186",84.4,47,41.1,23.2,47.3
"Bielak, Brandon","656232","2024",72,12,23.7,30.3,69.7,54.5,81.3,6.3,"510",88,45.5,41.2,17.2,45.7
"Bird, Jake","656234","2024",62.6,13.7,26.2,41.8,58.2,50.7,67.2,8.9,"684",85.8,49.3,44.3,22.2,44.2
"Blewett, Scott","656240","2024",73.8,20.3,30.8,38.8,59.2,49.8,88.5,8.2,"319",78.8,50.2,43.6,25.7,52.4
"Burke, Brock","656271","2024",71.8,24.9,28.5,42.5,57.5,44.5,87,8,"575",75.1,55.5,40.7,29.1,52.5
"Canning, Griffin","656288","2024",70.2,14.3,29.2,45.9,53.9,53.3,76,6.4,"2869",85.4,46.7,43,24.5,48.4
"Cease, Dylan","656302","2024",68.5,22.1,30.5,52.4,47,53.5,79,7.6,"3188",77.8,46.5,42.7,32.4,48.2
"Faedo, Alex","656412","2024",70.8,21.1,29.4,50.6,49.4,55.4,80.4,5.1,"1007",78,44.6,43.8,31.1,47.9
"Flaherty, Jack","656427","2024",65,21.1,30.7,51.8,48,54.2,78.7,6.4,"2646",78.8,45.8,44.1,32.1,46.2
"Ginkel, Kevin","656464","2024",68.3,18.1,31.9,47.2,52.3,52.1,75.3,6.5,"1184",81.4,47.9,42.7,27.9,49.3
"Hentges, Sam","656529","2024",65.6,17.8,29.2,56,44,48.7,76.9,7.4,"351",82.2,51.3,44.7,29.2,47.9
"Hoffman, Jeff","656546","2024",68.9,22.3,34.6,61.3,38.7,50,74.3,7.4,"1001",77.4,50,39.4,35.3,51.7
"Holmes, Grant","656550","2024",73.2,18,35.1,61.9,37.6,50.4,86.8,7.4,"1024",81.5,49.6,41.5,32.4,54
"Houck, Tanner","656557","2024",62.7,14.1,31.2,39.6,59.9,50.3,61.1,6.8,"2735",85.7,49.7,44.5,22.6,46.8
"Keller, Mitch","656605","2024",64.8,14.4,28.3,39.7,60,47.1,76.3,8.1,"2851",85.4,52.9,45.5,21.5,47.6
"Kopech, Michael","656629","2024",64.4,25.7,28.8,49.4,50.6,49.2,68.1,8.2,"1143",74.1,50.8,42.5,32.8,46.9
"Lange, Alex","656638","2024",63.5,12.9,28,67.2,32.8,57.8,80.6,8.2,"377",87.1,42.2,30.2,33.3,43
"Latz, Jacob","656641","2024",68.4,20.2,29.7,43.9,56.1,54.5,76.6,5.8,"813",79.8,45.5,40.5,28.3,47.4
"Megill, Trevor","656730","2024",70.1,15,32.8,64.4,35.6,47.5,69,8.7,"668",84.6,52.5,41,29.7,52.4
"Megill, Tylor","656731","2024",68.9,19.7,30.2,47.6,52.4,51.4,83.2,8.3,"1365",79.6,48.6,41.1,28.6,49
"Montgomery, Jordan","656756","2024",70.3,17.7,33.2,42.1,57.9,55.9,83.7,7.6,"1929",80.9,44.1,41.5,26.9,49.6
"Petersen, Michael","656848","2024",73.9,15,30.1,30.9,69.1,50.4,86.1,9.9,"363",85,49.6,41.3,19.7,51.8
"Peterson, David","656849","2024",68,16.7,28.8,45.3,53.2,51.5,65.1,6.7,"1871",83,48.5,43.6,25.6,47.8
"Rasmussen, Drew","656876","2024",61.8,19.7,33,54.8,45.2,48.1,64.7,7.4,"459",80.3,51.9,42.3,31.4,47.9
"Reid-Foley, Sean","656887","2024",69.2,23.4,21,47.6,52.4,51.9,79.3,7.5,"385",76.6,48.1,37.9,29.4,44.2
"Ryan, Ryder","656924","2024",71,14.4,32.7,44.4,55.6,48.4,71.9,9.4,"340",84.8,51.6,42.8,23.5,52.6
"Scott, Tanner","656945","2024",70,25.1,31.9,50.8,49.2,47.6,81.1,7.7,"1163",74.4,52.4,43.3,32.7,51.8
"Steele, Justin","657006","2024",68.2,17.3,29.2,43.9,54.5,42.7,78.9,10.7,"2046",82.4,57.3,44.2,23.7,51.5
"Swanson, Erik","657024","2024",73.6,15.8,29.2,41.2,58.8,52.3,92.1,5.7,"667",83.8,47.7,45.7,23.5,50.4
"Thompson, Ryan","657044","2024",65.1,15.2,33.5,39,61,48.5,73.5,7,"977",84.1,51.5,44.2,23,49.8
"Toussaint, Touki","657053","2024",60.6,17.5,28.7,41.7,56,59.7,85.2,5.5,"491",82.5,40.3,40.1,27.5,41.5
"Webb, Jacob","657097","2024",68.5,22.2,29,40.8,58.5,48,89.6,7.2,"934",77.5,52,44.2,27.4,49.6
"Webb, Logan","657277","2024",60.9,11.9,33,35.7,64,52.6,77.6,6.8,"3201",87.6,47.4,44.8,20.8,46.2
"Schmidt, Clarke","657376","2024",63.1,22.1,27.2,44.7,55.3,52.7,74,6.9,"1454",77.6,47.3,40.4,29.4,44.2
"Baumann, Mike","657508","2024",69.9,16.2,27,46.2,53.8,49.6,83.3,8.4,"1067",83.8,50.4,41.4,24.5,48.6
"Bernardino, Brennan","657514","2024",62.6,18.1,23.5,33.7,66.3,45.6,69.1,9.4,"860",81.6,54.4,38.7,21.8,44.8
"Ferguson, Caleb","657571","2024",65.5,17.2,29.4,46.8,53.2,51,80.6,7.1,"940",82.5,49,44,26.6,47.1
"Garrett, Reed","657585","2024",64.1,24,32.8,56.7,43.3,58.2,71.7,5.4,"980",75.7,41.8,39.7,37.6,45.9
"Hill, Tim","657612","2024",66.3,8.6,30.3,25,73.4,43,73.6,9.3,"982",90.3,57,46.3,12.8,50.8
"Koenig, Jared","657649","2024",63.5,17.4,27.1,37.2,62.8,44,74,9.4,"1017",81.5,56,42.5,22.4,47.5
"Ryan, Joe","657746","2024",68,21.4,30.1,40.7,59.3,45,78.1,8,"2106",78,55,45.7,26.6,50.9
"Avila, Pedro","658648","2024",67.6,16.3,27.7,43.8,56.2,53.3,82.6,6.1,"1419",83.7,46.7,42.1,25,46.4
"Paredes, Enoli","660600","2024",65.3,22.9,26.7,39.1,60.9,53.9,67.9,8.8,"319",77.1,46.1,45.8,28.2,44.5
"Suarez, José","660761","2024",68.1,16,28.9,48.4,50.3,56.5,84.5,5.9,"987",82.9,43.5,39.5,27.5,46
"Bazardo, Eduard","660825","2024",61.7,19.7,30,47.1,52.9,51.5,75.9,6.6,"441",80.3,48.5,37.6,29,45.4
"De Los Santos, Enyel","660853","2024",73.9,22.4,26.4,52.6,47.4,45.3,80,8.9,"1127",77.6,54.7,42,29.3,52.4
"Alcala, Jorge","660896","2024",70.3,22.5,26,44.4,55.6,48.3,88.1,7.2,"931",76.9,51.7,43.4,28.1,48.9
"Duran, Jhoan","661395","2024",69,26,28,50.8,49.2,48.7,80.6,7,"881",74,51.3,44.3,32.9,49
"Clase, Emmanuel","661403","2024",72.4,20.1,36.8,43.9,56.1,45.4,88.5,7.9,"983",79.9,54.6,46.9,27.1,56.3
"Martinez, Seth","661527","2024",67,17.4,26,36.3,63.7,51.9,76.1,8,"838",82.6,48.1,41.1,23,45.7
"Gil, Luis","661563","2024",67.7,21.6,25.5,46.5,53.2,52.8,78.1,6.9,"2664",78.2,47.2,42.5,29,45.5
"Muñoz, Andrés","662253","2024",62.7,24.3,33.2,60.5,39.5,58.6,70.6,5.4,"951",75.7,41.4,42,39.8,45.4
"Suarez, Robert","663158","2024",77.4,21.9,30.9,31,69,47,87.5,9,"977",78.1,53,41.9,24.3,55.6
"Waldron, Matt","663362","2024",65,16.3,25,32.9,67.1,49.1,81.9,8.1,"2450",83.2,50.9,43.2,20.8,45.3
"Feltner, Ryan","663372","2024",68,17.6,25.7,42.6,57.4,46.9,80.9,7.7,"2578",81.7,53.1,44.2,23.9,48.1
"Thornton, Trent","663423","2024",68.1,17.6,32.6,48.1,51.4,49.3,82.4,9,"1139",82.4,50.7,42.4,27.3,50.6
"Rainey, Tanner","663432","2024",71.5,18.5,26.7,46.4,53.6,49.9,90.4,7.8,"939",81.5,50.1,40.9,26,49.1
"Martin, Davis","663436","2024",69.2,15.9,29.5,51.1,46.7,52,81,7.1,"892",84.1,48,42.2,27,48.5
"Bubic, Kris","663460","2024",63.3,22.8,35.1,47.3,52.7,45.2,89.5,8.1,"467",77.2,54.8,45.6,30.5,50.5
"Allard, Kolby","663465","2024",68.4,16.9,26.2,35.8,62.3,46.3,78,9.4,"436",82.5,53.7,40.1,21.6,48.9
"McKenzie, Triston","663474","2024",64.3,12.4,22.2,52,48,51.8,79.1,8.4,"1304",87.1,48.2,39.7,23.1,42.5
"Sands, Cole","663485","2024",68.6,19.8,31.7,41.9,58.1,49,85.8,9.2,"1154",80,51,42.1,26.6,50.5
"Allen, Logan","663531","2024",73.2,14,21.8,42.6,57.4,46,78.9,8.1,"470",86,54,41.7,19.7,49.6
"Hudson, Bryan","663542","2024",66.5,13.9,24.7,46.6,53.4,45,75.5,11,"927",85.3,55,42.6,21.5,47.7
"Hjelle, Sean","663546","2024",62.8,12.6,26.6,43.3,56.7,48.8,76.6,7.8,"1209",86.4,51.2,44.3,21.4,45.2
"Mize, Casey","663554","2024",70.9,14.7,27.3,41.7,57.9,49.1,77.6,6.5,"1789",85,50.9,42.9,22,49.5
"Falter, Bailey","663559","2024",67.8,13.7,27.8,36.4,62.5,45.8,75.3,8.5,"2138",85.9,54.2,45.4,19.6,49.5
"Davis, Noah","663562","2024",75.4,12.3,24.2,29.5,70.5,49.9,78.3,12.6,"365",87.7,50.1,41.1,16.5,49.9
"Lambert, Peter","663567","2024",71.3,13.2,24.7,47.7,51.6,50,89.3,8.1,"1039",86.8,50,39.2,22,48
"Kolek, Stephen","663568","2024",67.4,14.8,27.9,39.2,60.8,45.8,63.6,8.3,"797",85.2,54.2,44.5,21.1,49.3
"Santillan, Tony","663574","2024",70.5,23.6,26.6,50,48.4,46.2,78.6,8.3,"504",76.4,53.8,44.6,30,50.2
"Irvin, Jake","663623","2024",67.1,15.6,26.8,41.9,57.6,46.3,73.6,8.6,"3046",84,53.7,43.5,22.3,48.5
"Harris, Hogan","663687","2024",61.6,14.6,23.7,40.9,59.1,45.9,81.2,7,"1213",85.1,54.1,43.8,21.1,44.2
"McArthur, James","663704","2024",64.8,16.4,29.9,54.1,45.9,50,82.1,7.4,"904",83.6,50,40.2,28.3,47.3
"Lynch IV, Daniel","663738","2024",65.9,17.4,26,57.5,42.5,48.8,79.3,9.2,"631",81.7,51.2,38.2,28.3,46.4
"Woodford, Jake","663765","2024",65.7,8.5,22.8,29.6,70.4,50.5,83.8,6,"618",91,49.5,44.5,14,44
"Hoeing, Bryan","663773","2024",61.6,14.9,28.3,40.2,59.8,48.3,72.7,7,"782",84.7,51.7,43.1,22.5,45.5
"Sandoval, Patrick","663776","2024",65.1,18.4,27.1,46.2,53.3,49.8,75.9,7.5,"1444",81.1,50.2,44,26.5,46.2
"Hicks, Jordan","663855","2024",65.4,14.6,25.1,48.2,51.8,52.3,80.3,7.3,"1958",85.1,47.7,42,24.6,44.3
"Pearson, Nate","663878","2024",65.2,18.9,26.4,51.5,47.8,48,70.7,9.3,"1059",81.1,52,41.3,27.8,46.6
"Little, Brendon","663893","2024",67.7,17.1,27.6,55.8,44.2,54.2,71.4,8,"696",82.9,45.8,37.1,29.7,46
"Singer, Brady","663903","2024",64.9,13.7,26.1,51.4,48.4,52.1,79.5,6.6,"2967",86.3,47.9,41.8,25.1,44.7
"Holton, Tyler","663947","2024",63.7,17,33.2,38.3,60.8,51,77.9,5.8,"1339",82.5,49,45.6,24.5,48.2
"Phillips, Tyler","663969","2024",72.1,14.2,33.9,37,62,51,80.4,8.8,"578",85.8,49,41.7,21.7,52.6
"Paddack, Chris","663978","2024",68.1,17.5,30.2,39,60.1,49.4,82.8,6.8,"1460",82.1,50.6,45.5,24,49.4
"Lovelady, Richard","663992","2024",69,17.3,28.1,39.7,60.3,49.2,85,7.6,"528",82.7,50.8,41.3,23.6,48.9
"Cleavinger, Garrett","664076","2024",66.6,20.2,30.1,51.2,48.8,51.5,76.5,7.7,"1056",79.5,48.5,42.4,30.3,47.8
"Fairbanks, Pete","664126","2024",63.3,15,22.7,44.4,55.6,45.5,76.9,7.5,"696",84.6,54.5,46.6,21.8,44.8
"Maton III, Phil","664208","2024",67.1,22.3,29.9,35.5,64,53.4,75.6,8,"1078",77.2,46.6,39.4,26.7,47.2
"Valdez, Framber","664285","2024",61.2,14.4,28.6,54.4,45.6,50.1,70.6,7.2,"2598",85.1,49.9,43.6,27.2,44.9
"Javier, Cristian","664299","2024",66.5,19.1,23.9,43.2,56.8,54.4,60.6,5.8,"570",80.9,45.6,40.7,26.3,43.3
"Sánchez, Sixto","664350","2024",67.1,9.5,22.8,25.8,74.2,46.7,82.2,7.2,"621",90.1,53.3,46.1,13.2,46.4
"Díaz, Alexis","664747","2024",68.7,20,25,43.7,56.3,51.6,76.3,8.2,"977",80,48.4,40.7,26.6,46.2
"Cousins, Jake","664776","2024",56.1,15.2,34.1,60.2,39.8,58.2,56.4,6.1,"644",84.1,41.8,39.9,35.8,43.3
"Young, Danny","664849","2024",54.3,16.6,26.2,52.9,47.1,57,63.8,6.7,"697",82.2,43,38.7,30.7,38.3
"Helsley, Ryan","664854","2024",69.7,24.1,33.5,65.3,34.7,46.2,72.5,8.6,"931",75.4,53.8,41.6,36.1,53
"Lawrence, Justin","664875","2024",64.4,14.9,23.9,41.8,58.2,51.9,76.8,7.6,"1081",85.1,48.1,39.8,22.6,43.4
"Kremer, Dean","665152","2024",65.1,17.1,27.3,38,61.6,50,77.3,6.9,"2171",82.4,50,45.3,23.3,46.2
"Medina, Luis","665622","2024",71.1,10.5,25.8,43,57,50,83.1,9.9,"720",89.1,50,41.9,19.2,48.5
"Peguero, Elvis","665625","2024",63.5,13.1,33.6,51.7,48.3,53.4,71.4,5.9,"829",86.5,46.6,44.1,27.7,47.5
"Cabrera, Edward","665795","2024",65.5,16.1,28.2,51.9,48.1,53.6,72.7,6.3,"1734",83.5,46.4,40.4,28,45.5
"Assad, Javier","665871","2024",62.4,12.6,23.4,31.4,68,51,74.4,7.8,"2538",86.9,49,41.4,17.9,42.5
"Marte, José","665896","2024",67.1,18.4,25.5,47.6,52.4,53.1,84.2,6.1,"311",80.6,46.9,45.3,27.1,45
"Garrett, Braxton","666129","2024",64.4,10,30.7,46.7,52.2,49.8,60.5,7.3,"588",90,50.2,42.3,21.8,47.6
"Ragans, Cole","666142","2024",69.7,24.3,29.8,48.7,51.1,52,82.5,6.8,"3118",75.6,48,43.1,32,48.9
"Lodolo, Nick","666157","2024",62.6,18,30.2,49.1,50.9,50,69.5,7,"1864",81.5,50,43.9,28.1,46.4
"Manning, Matt","666159","2024",68.8,16.8,27,43.6,56.4,46.6,83.8,8.4,"438",82.6,53.4,44.5,23.6,49.3
"Luzardo, Jesús","666200","2024",69.6,19.3,29.8,51.8,48.2,52,81.2,6.4,"1083",80.7,48,43,29.6,48.9
"Manoah, Alek","666201","2024",68.7,20.1,27.1,48.1,50,50.5,78.9,9.6,"394",79.1,49.5,41.4,28.2,47.7
"Jiménez, Dany","666204","2024",61.1,17.4,22.3,62,38,49.8,77.4,6.9,"450",81.9,50.2,40.2,29.3,41.8
"Muller, Kyle","666205","2024",71.1,16.8,25.4,44.9,53.8,42.3,79.8,11.6,"725",83.2,57.7,40.7,22.7,51.7
"Wentz, Joey","666214","2024",68.1,18.9,29.6,50.3,49.7,54.4,75.9,7.1,"1224",81.1,45.6,42.5,29.6,47.1
"Soriano, George","666277","2024",65.1,14.9,25.7,52.2,47.8,50.3,66.7,8.1,"519",84.5,49.7,43.4,25.5,45.3
"Rodríguez, Yerry","666720","2024",74.9,18.3,22.4,34.7,63.3,50,73.3,6.8,"438",81.1,50,40,22.1,48.6
"Brito, Jhony","666745","2024",72,18.8,22.6,19.4,80.6,47.1,82.4,8.1,"628",80.8,52.9,43.6,19,48.7
"Doval, Camilo","666808","2024",61.8,19.6,28.3,61.4,38,54.2,69.4,6.5,"1116",80.1,45.8,42.4,34.3,43.6
"Cano, Yennier","666974","2024",67.5,17.6,32.2,45.5,54,54.2,70.7,5.8,"1008",81.7,45.8,46,27.7,48.4
"Nance, Tommy","667297","2024",61,9.6,27.4,60.9,39.1,52.2,80.8,8.1,"322",89.4,47.8,42.2,26.4,43.5
"King, John","667463","2024",69.1,10.9,31.4,32.6,67.4,49,80.8,8.5,"857",89.1,51,43.9,17.5,50.6
"Tyler, Kyle","667725","2024",63.5,12.5,29.6,49.5,49.5,56.6,73.5,8.4,"580",86.9,43.4,41,26.5,44.3
"Soriano, José","667755","2024",64.7,13.4,29.3,43.7,55.9,52.9,68.5,8.2,"1737",86.2,47.1,43,23.7,46
"Miller, Tyson","668338","2024",72.4,21.5,31.8,37.8,62.2,49.9,83.7,9.9,"934",78.2,50.1,43.7,26.5,52.1
"Winn, Cole","668390","2024",70.6,22.2,30.1,35,65,46.5,91.7,8.4,"286",77.8,53.5,42,25.7,51.7
"Erceg, Lucas","668674","2024",64.6,22.1,31.9,47.8,51.6,52,75,6.8,"947",77.9,48,43.9,31,47.6
"Gallen, Zac","668678","2024",63.8,14,29.7,45.2,54.8,57.5,71.4,5.6,"2506",85.9,42.5,45.9,26,44.2
"Thompson, Zack","668868","2024",61.4,15.5,33.3,39.6,60.4,50.2,75.9,9.1,"317",84.5,49.8,44.5,24,47.3
"Greene, Hunter","668881","2024",72.6,22,29.2,48.3,50.4,50.6,79.9,7.4,"2563",77.7,49.4,43.7,29.7,50.6
"Williams, Gavin","668909","2024",69.2,19.1,29,38.6,60.9,49.7,75.9,8.2,"1368",80.7,50.3,43.1,24.8,49.2
"Ashcraft, Graham","668933","2024",72.3,13.2,26.2,46.6,52.3,50,86.3,7.6,"1342",86.8,50,42.3,22.1,49.3
"Romero, JoJo","668941","2024",61.6,13.3,26.4,52.4,46.8,51,68.3,8.9,"919",86,49,37.1,25.4,43.7
"Myers, Tobias","668964","2024",69.8,15.4,28.6,36.1,63.6,49,88.3,7.2,"2152",84.6,51,43.6,21.3,49.6
"Crouse, Hans","668968","2024",65.1,23.2,28.6,57.1,42.9,56.1,82.8,6.6,"437",76,43.9,41.6,35.4,44.6
"Gore, MacKenzie","669022","2024",73.2,19.8,27.3,52.5,46.8,49.6,79.3,6.9,"2994",79.9,50.4,42.5,28.6,50.4
"Wilson, Bryse","669060","2024",68.1,15.9,25.6,35.9,64.1,46.4,79.9,8.2,"1643",83.6,53.6,44.7,20.8,48.3
"Miller, Erik","669062","2024",65.3,23.4,24.7,47,52.4,53.7,75,6.9,"1269",76.3,46.3,42,30.6,43.5
"Hall, DL","669084","2024",60.3,14.8,27.4,41.8,57.3,51.4,70.6,6.5,"782",84.3,48.6,41,23.6,43.4
"Estrada, Jeremiah","669093","2024",72.1,28.2,33.5,54.4,45,47.6,85.2,8.1,"1003",71.5,52.4,41.3,36,53.7
"Nelson, Ryne","669194","2024",71.1,14.4,29.3,29,70.7,46,83.8,8.2,"2406",85.5,54,44.8,18.2,51.8
"Burnes, Corbin","669203","2024",67,15.6,33,51.6,48.2,53.4,73.8,6.5,"2996",84,46.6,42.6,28.6,48.8
"Akin, Keegan","669211","2024",66.3,22.9,25.7,50.7,48.7,47,83.9,9,"1241",76.4,53,44.6,30,47.2
"Morgan, Eli","669212","2024",69.6,16.5,36.3,42.1,57.9,48.6,72.1,6.7,"646",83.5,51.4,42,24.9,53.4
"Lee, Dylan","669276","2024",75.2,26.6,37.4,62.9,36.4,47,78.3,8,"859",72.5,53,42,37.7,57.4
"Gilbert, Logan","669302","2024",70.3,20.4,29.9,58.7,41.3,49.4,76.2,8.3,"3042",79.5,50.6,40.8,31.7,50.4
"Baz, Shane","669358","2024",73.6,16.6,24,52.2,47.8,47,79.1,7.1,"1206",83,53,42.9,24.6,50.2
